name,version,channel,ignored,depended,3.8,3.9,3.10,3.11,3.12,notes
python-slugify,,,True,,True,True,True,True,True,
xlrd,,,False,pandas,True,True,True,True,True,
xlwt,,,True,pandas,True,True,True,True,True,
xlsxwriter,,,False,pandas,True,True,True,True,True,
openpyxl,,,False,pandas,True,True,True,True,True,
pyxlsb,,,False,pandas,True,True,True,True,True,
sphinx_bootstrap_theme,,,False,,True,True,True,True,True,
sphinxcontrib-napoleon,,,False,,True,True,True,True,True,
html5lib,,,False,pandas,True,True,True,True,True,
lxml,,,False,"pandas,networkx",True,True,True,True,True,
pymediainfo,,,False,,True,True,True,True,True,
defopt,,,False,,True,True,True,True,True,
glom,,,False,,True,True,True,True,True,
pockets,,,True,,True,True,True,True,True,
flatten-dict,,,False,,True,True,True,True,True,
johnnydep,,,False,,True,True,True,True,True,
ics,,,True,,False,False,False,False,False,
datashader,,,True,,True,True,True,True,True,
readability-lxml,,,False,,True,True,True,True,True,
ipython,,,False,,True,True,True,True,True,
pyqt,,,True,pandasgui,True,True,True,True,True,
appdirs,,,True,pandasgui,True,True,True,True,True,
dacite,,,True,pandasgui,True,True,True,True,True,
mypy_extensions,,,True,pandasgui,True,True,True,True,True,
yaml2cli,,,False,,True,True,True,True,True,
tco,,,True,,True,True,True,True,True,
acor,,,False,,False,False,False,False,False,
wolframclient,,,False,,True,True,True,True,True,
numba_quaternion,,,False,,True,True,True,True,True,
feedgen,,,False,,True,True,True,True,True,
ghapi,,,True,,True,True,True,True,True,
ghp-import,,,False,,True,True,True,True,True,
ipympl,,,False,,True,True,True,True,True,
parsl,,,False,,True,True,True,True,True,
tikzplotlib,,,False,,True,True,True,True,True,
urlpath,,,False,,True,True,True,True,True,
schema,,,False,,True,True,True,True,True,
toast,,,False,,False,False,False,False,False,
libsharp,,,False,,False,False,False,False,False,
pysm3,,,False,,True,True,True,True,True,
quaternionarray,,,True,,True,True,True,True,True,
contextily,,,False,,True,True,True,True,True,
descartes,,,True,,True,True,True,True,True,
folium,,,False,,True,True,True,True,True,
geojson,,,False,,True,True,True,True,True,
geopandas,,,False,,True,True,True,True,True,
googlemaps,,,False,,True,True,True,True,True,
kml2geojson,,,False,,True,True,True,True,True,
routingpy,,,True,,True,True,True,True,True,
tzwhere,,,False,,True,True,True,True,True,
bpytop,,,False,,True,True,True,True,True,
cairocffi,,,False,,True,True,True,True,False,
custom-inherit,,,False,,True,True,True,True,True,
jupytext,,,False,,True,True,True,True,True,
makefun,,,False,,True,True,True,True,True,
nbsphinx,,,False,,True,True,True,True,True,sphinx ipynb support
palettable,,,False,,True,True,True,True,True,
pannb,,,False,,True,True,True,True,True,
pickle-compat,,,False,,True,True,True,True,True,
py-cpuinfo,,,False,,True,True,True,True,True,
pygraphviz,,,False,networkx,True,True,True,True,True,
pydot,,,False,networkx,True,True,True,True,True,
gdal,,,False,networkx,True,True,True,True,True,
pyment,,,False,,True,True,True,True,True,convert docstrings
pytest-xdist,,,False,,True,True,True,True,True,
types-pyyaml,,,False,,True,True,True,True,True,
tbb,,,False,numba,True,True,True,True,True,
jinja2,,,False,"pandas,numba",True,True,True,True,True,
cffi,,,False,numba,True,True,True,True,True,
llvm-openmp,,,False,numba,True,True,True,True,True,
intel-openmp,,,False,numba,False,False,False,False,False,
tbb-devel,,,False,numba,True,True,True,True,True,
icc_rt,,numba,False,numba,True,True,False,False,False,
pickle5,,,False,numba,False,False,False,False,False,for py37
typeguard,,,False,numba,True,True,True,True,True,
colormath,,,False,,True,True,True,True,True,
healpy,,,False,,True,True,True,True,True,
pyslalib,,,False,,False,False,False,False,False,
pynput,,,True,pandasgui,False,False,True,True,True,
aiohttp,,,True,,True,True,True,True,True,
bump2version,,,False,,True,True,True,True,True,
chardet,,,False,,True,True,True,True,True,Universal Character Encoding Detector
coloredlogs,,,False,,True,True,True,True,True,
conda-smithy,,,False,,True,True,True,True,True,
cookiecutter,,,True,,True,True,True,True,True,
grayskull,,,False,,True,True,True,True,True,
mamba,,,False,,True,True,True,True,True,
nikola,,,True,,True,True,True,True,True,
oyaml,,,True,,True,True,True,True,True,
poetry,,,False,,True,True,True,True,True,
pygments,,,False,numba,True,True,True,True,True,
pyrss2gen,,,False,,True,True,True,True,True,
ruamel.yaml,,,True,,True,True,True,True,True,
tabulate,,,False,pandas,True,True,True,True,True,
toml,,,False,,True,True,True,True,True,
watchdog,,,False,,True,True,True,True,True,
wheel,,,False,,True,True,True,True,True,
numba,,,False,pandas,True,True,True,True,True,
gooey,,,True,,False,False,False,False,False,
make_arq,,,False,,False,False,False,False,False,
xarray,,,False,pandas,True,True,True,True,True,
blosc,,,False,pandas,True,True,True,True,True,
zlib,,,False,pandas,True,True,True,True,True,
fastparquet,,,False,pandas,True,True,True,True,True,
pyarrow,,,False,"pandas,astropy",True,True,True,True,True,
pyreadstat,,,False,pandas,True,True,True,True,True,
