name,channel,ignored,version,latest_version,depended,notes,summary,doc_url,depends_on_python,linux-64,linux-aarch64,linux-ppc64le,osx-64,osx-arm64,win-32,win-64,win-arm64
lynx,,True,,2.9.2,,,Text-based web browser,http://lynx.invisible-island.net/lynx_help/,False,True,False,False,True,False,False,False,False
make,,False,,4.4.1,,,GNU Make is a tool which controls the generation of executables and other non-source files of a program from the program's source files.,https://www.gnu.org/software/make/manual/,False,True,True,True,True,True,True,True,False
mediainfo,,False,,24.12,,,Convenient unified display of the most relevant technical and tag data for video and audio files,https://mediaarea.net/MediaInfo,False,True,False,False,True,False,False,False,False
mosh,,False,,1.4.0,,,Mobile shell that supports roaming and intelligent local echo,,False,True,True,True,True,True,False,False,False
nano,,False,,8.3,,,"Nano's ANOther editor, an enhanced free Pico clone",https://www.nano-editor.org/docs.php,False,True,True,True,True,True,False,False,False
ncdu,,True,,1.16,,,NCurses Disk Usage,https://dev.yorhel.nl/ncdu/man,False,True,True,True,True,True,False,False,False
nvtop,,False,,3.2.0,,,Neat Videocard TOP,,False,True,True,True,True,True,False,False,False
openssh,,False,,9.3p1,,,A suite of secure networking utilities based on the SSH protocol,,False,True,True,True,True,True,False,False,False
p7zip,,True,,16.02,,,"p7zip is a quick port of 7z.exe and 7za.exe (command line version of 7zip, see www.7-zip.org ) for Unix.",,False,True,True,True,True,True,False,False,False
pandoc,,False,,3.6.4,,,The universal markup converter,http://pandoc.org/MANUAL.html,False,True,True,False,True,True,True,True,False
parallel,,False,,20250222,,,GNU parallel is a shell tool for executing jobs in parallel using one or more computers.,,False,True,True,True,True,True,False,True,False
pixi,,False,,0.44.0,,,"pixi is a cross-platform, multi-language package manager and workflow tool build on the shoulders of the conda ecosystem.",,False,True,True,True,True,True,False,True,False
poppler,,False,,25.02.0,,,The Poppler PDF manipulation library.,,False,True,True,True,True,True,False,True,False
sed,,False,,4.8,,,sed (stream editor) is a non-interactive command-line text editor.,,False,True,True,True,True,True,False,False,False
shellcheck,,False,,0.10.0,,,"ShellCheck, a static analysis tool for shell scripts",,False,True,True,False,True,True,False,True,False
starship,,False,,1.22.1,,,"The minimal, blazing-fast, and infinitely customizable prompt for any shell!",,False,True,True,True,True,True,False,True,False
tar,,False,,1.34,,,GNU tape archive program,,False,True,True,True,True,True,False,False,False
tidy-html5,,True,,5.9.14,,,"The granddaddy of HTML tools, with support for modern standards.",http://www.html-tidy.org/,False,True,True,True,True,True,False,True,False
tmux,,False,,3.5,,,A terminal multiplexer.,,False,True,True,True,True,True,False,False,False
tree,,False,,2.2.1,,,Tree is a recursive directory listing command,http://oldmanprogrammer.net/source.php?dir=projects/tree,False,True,True,True,True,True,False,False,False
unzip,,False,,6.0,,,,,False,True,True,True,True,True,False,False,False
w3m,,False,,0.5.3+git20220429,,,Text mode web browser/pager.,,False,True,False,False,True,False,False,False,False
wget,,False,,1.21.4,,,utility for non-interactive download of files from the Web,https://www.gnu.org/software/wget/,False,True,True,True,True,True,False,False,False
zellij,,False,,0.42.1,,,"Pluggable terminal workspace, with terminal multiplexer as the base feature",,False,True,True,False,True,True,False,False,False
zsh,,False,,5.9,,,"Zsh is a shell designed for interactive use, although it is also a powerful scripting language.",https://zsh.sourceforge.io/Doc/Release/zsh_toc.html,False,True,True,True,True,True,False,False,False
zstd,,False,,1.5.7,,,Zstandard - Fast real-time compression algorithm,https://facebook.github.io/zstd/zstd_manual.html,False,True,True,True,True,True,True,True,True
